team,player_name
KKR,Manish Pandey
KKR,Robin Uthappa
KKR,Andre Russell
KKR,Kuldeep Yadav
KKR,Vinay Kumar
KKR,Pat Cummins
KKR,Morne Morkel
KKR,Piyush Chawla
KKR,Veer Pratap Singh
KKR,Umesh Yadav
KKR,Sheldon Jackson
KKR,Azhar Mahmood
KKR,Jimmy Neesham
KKR,Johan Botha
KKR,Brad Hogg
KKR,KC Cariappa
KKR,Colin Munro
KKR,John Hastings
KKR,Rajagopal Sathish
KKR,Shaun Tait
KKR,Ishank Jaggi
KKR,Rovman Powell
KKR,Rishi Dhawan
KKR,Chris Woakes
KKR,Colin De Grandhomme
KKR,Nathan Coulter-Nile
KKR,Trent Boult
KKR,Sayan Ghosh
KKR,R Sanjay Yadav
KKR,Dinesh Karthik
KKR,Shubman Gill
KKR,Rinku Singh
KKR,Nitish Rana
KKR,Mitchell Johnson
KKR,Javon Searles
KKR,Shivam Mavi
KKR,Prasidh Krishna
KKR,Tom Curran
KKR,Nikhil Naik
KKR,Carlos Brathwaite
KKR,Shrikant Mundhe
KKR,Joe Denly
KKR,Sandeep Warrier
KKR,Harry Gurney
KKR,Matthew Kelly
KKR,Lockie Ferguson
KKR,Prithvi Raj Yarra
KKR,Tim Seifert
KKR,Tom Banton
KKR,Siddhesh Lad
KKR,Rahul Tripathi
KKR,Kamlesh Nagarkoti
KKR,Chris Green
KKR,M Siddharth
KKR,Varun Chakaravarthy
KKR,Ali Khan
KKR,Karun Nair
KKR,Gurkeerat Mann Singh
KKR,Venkatesh Iyer
KKR,Harbhajan Singh
KKR,Pawan Negi
KKR,Vaibhav Arora
KKR,Ben Cutting
KKR,Tim Southee
KKR,Shreyas Iyer
KKR,Ajinkya Rahane
KKR,Aaron Finch
KKR,Abhijeet Tomar
KKR,Pratham Singh
KKR,Sam Billings
KKR,Baba Indrajith
KKR,Ramesh Kumar
KKR,Mohammad Nabi
KKR,Anukul Roy
KKR,Chamika Karunaratne
KKR,Aman Khan
KKR,Harshit Rana
KKR,Ashok Sharma
KKR,Rasikh Dar
KKR,Rahmanullah Gurbaz
KKR,Narayan Jagadeesan
KKR,Litton Das
KKR,Mandeep Singh
KKR,Aarya Desai
KKR,Johnson Charles
KKR,Jason Roy
KKR,David Wiese
KKR,Shardul Thakur
KKR,Suyash Sharma
KKR,Kulwant Khejroliya
KKR,Allah Ghazanfar
KKR,Dushmantha Chameera
KKR,Sakib Hussain
KKR,Phil Salt
KKR,K.S Bharat
KKR,Angkrish Raghuvanshi
KKR,Ramandeep Singh
KKR,Mitchell Starc
KKR,Quinton De Kock
